2020-04-16 14:17:50.193 [main] INFO  com.gl.gl_wechat.GlWechatApplication - Starting GlWechatApplication on LAPTOP-UFUB5A9M with PID 9828 (C:\workSoft\ideaWorkSpace\gl_wechat\target\classes started by zhaoCong in C:\workSoft\ideaWorkSpace\gl_wechat)
2020-04-16 14:17:50.195 [main] INFO  com.gl.gl_wechat.GlWechatApplication - The following profiles are active: dev
2020-04-16 14:17:50.875 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8890 (http)
2020-04-16 14:17:50.881 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8890"]
2020-04-16 14:17:50.881 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-16 14:17:50.882 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-16 14:17:50.883 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.21] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2020-04-16 14:17:50.883 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.21] using APR version [1.6.5].
2020-04-16 14:17:50.883 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-04-16 14:17:50.883 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-04-16 14:17:50.886 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1a  20 Nov 2018]
2020-04-16 14:17:50.945 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-04-16 14:17:50.945 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 715 ms
2020-04-16 14:17:51.206 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-16 14:17:51.345 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8890"]
2020-04-16 14:17:51.358 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8890 (http) with context path ''
2020-04-16 14:17:51.359 [main] INFO  com.gl.gl_wechat.GlWechatApplication - Started GlWechatApplication in 1.432 seconds (JVM running for 2.347)
2020-04-16 14:18:21.160 [http-nio-8890-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-16 14:18:21.160 [http-nio-8890-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-16 14:18:21.164 [http-nio-8890-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2020-04-16 14:18:21.647 [http-nio-8890-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-16 14:18:21.727 [http-nio-8890-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
