2020/07/09-09:15:41 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper- Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gl.gl_wechat.GlWechatApplicationTests], using SpringBootContextLoader
2020/07/09-09:15:42 [main] INFO  org.springframework.test.context.support.AbstractContextLoader- Could not detect default resource locations for test class [com.gl.gl_wechat.GlWechatApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020/07/09-09:15:42 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils- Could not detect default configuration classes for test class [com.gl.gl_wechat.GlWechatApplicationTests]: GlWechatApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020/07/09-09:15:42 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper- Found @SpringBootConfiguration com.gl.gl_wechat.GlWechatApplication for test class com.gl.gl_wechat.GlWechatApplicationTests
2020/07/09-09:15:42 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020/07/09-09:15:42 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper- Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@16612a51, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@54e041a4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2c78324b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@79defdc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@18317edc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4e0ae11f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@238d68ff, org.springframework.test.context.event.EventPublishingTestExecutionListener@4b86805d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5852c06f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4149c063, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@9cb8225, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@76b07f29, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@38af9828]
2020/07/09-09:15:42 [main] INFO  com.gl.gl_wechat.GlWechatApplicationTests- Starting GlWechatApplicationTests on LAPTOP-UFUB5A9M with PID 6900 (started by zhaoCong in C:\workSoft\ideaWorkSpace\gl_wechat)
2020/07/09-09:15:42 [main] INFO  com.gl.gl_wechat.GlWechatApplicationTests- The following profiles are active: dev
2020/07/09-09:15:44 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor- Initializing ExecutorService 'applicationTaskExecutor'
2020/07/09-09:15:44 [main] INFO  com.gl.gl_wechat.GlWechatApplicationTests- Started GlWechatApplicationTests in 2.169 seconds (JVM running for 3.205)
2020/07/09-09:15:44 [SpringContextShutdownHook] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor- Shutting down ExecutorService 'applicationTaskExecutor'
